Excercise,Reps,Calories_burned,Movement,Primary Muscle,Secondary Muscle
High Box Jumps,10,,Squat and Lunge,Quad,Calf
Medium Box Jumps,20,,Squat and Lunge,Quad,Calf
Low Box Jumps,30,,Squat and Lunge,Quad,Calf
Lunges,30,,Lunge,,
1 legged weighted lunges,15,,Lunge,,
Wall balls,20,,Squat,,
Super skaters,15,,Lunge,,
1 legged deadlifts,15,,Deadlift,,
20 lbs Calf Raises,20,,Squat and Lunge,,
Air Squats,30,,Squat,,
Weighted Squats,15,,Squat,,
Mary Katherines,20,,Lunge,,
Wall Sits,60,,Squat,,
Weighted Walking Lunges,20,,Lunge,,
25lb Deadlift,20,,Deadlift,Hamstring,
